p,Delta_p,HS_off
3407,-0.07949323541834952,0.6335984096584318
3413,-0.08013534617185758,0.6331280766220827
3433,-0.08184406487517017,0.6315610629613742
3449,-0.08264292072763359,0.6319318159228204
3457,-0.0818441729523141,0.6269908206313493
3461,-0.08201462891405928,0.6264102004402796
3463,-0.08209096652325587,0.6262952229702411
3467,-0.08222583615937538,0.6262634491777558
3469,-0.08228435536218223,0.6268669688337553
3491,-0.08253333763511292,0.6236633731600407
3499,-0.08244235862290963,0.6243961300584386
3511,-0.08211827466362775,0.6218786748339107
3517,-0.0818673682049422,0.6224492056099374
3527,-0.08129586486139087,0.6219899120524852
3529,-0.08115186625213944,0.622029535220464
3533,-0.08080092850306095,0.6215690163598865
3539,-0.07924944361723277,0.6171631139076118
3541,-0.07912033371312029,0.6169948236252389
3547,-0.0787015173751081,0.6169235100658855
3557,-0.07789913748348051,0.6160928596003737
3559,-0.07772309344056626,0.6155897775488309
3571,-0.07655849684674,0.6143839519463511
3581,-0.07544640338721786,0.614894441165648
3583,-0.07520848455128396,0.6145467724891523
3593,-0.0739401751270864,0.6125484564732786
3607,-0.07192973009439305,0.612944312694148
3613,-0.07096129196951424,0.6125735110150348
3617,-0.07021324141949323,0.6110889712867558
3623,-0.06818738414402041,0.6078120558678518
3631,-0.06689709128661318,0.6079125487154796
3637,-0.06588691890208968,0.6078717506200197
3643,-0.06484102070498857,0.6058425512628187
3659,-0.06188144825365254,0.6056852455344941
3671,-0.05950267379836956,0.6045470900005386
3673,-0.05909308210290457,0.6036258375117985
3677,-0.058262571717538125,0.6034242887303493
3691,-0.05523144233196874,0.6036543409745704
3697,-0.05386159928250807,0.6027821684732717
3701,-0.052899815478752596,0.6025161326030555
3709,-0.050106575413186014,0.5989791805781859
3719,-0.048637138132708285,0.5989707960285021
3727,-0.04820049824498532,0.5965196203287408
3733,-0.04783861411331041,0.596489378683761
3739,-0.04744714440749455,0.5967248963061919
3761,-0.045753495559496093,0.594306036274642
3767,-0.045217582683119165,0.5951410185862663
3769,-0.04503122916248461,0.5950882870015145
3779,-0.0440323953764571,0.5942692154511987
3793,-0.04547126182524458,0.590173565664831
3797,-0.04642239837970625,0.5903933404516191
3803,-0.04782541441355542,0.5898145495171447
3821,-0.05185875670532532,0.5881045668530381
3823,-0.05229021018911456,0.5883982687265412
3833,-0.054395987448476776,0.5871168344515336
3847,-0.05719660069913109,0.5853635659224586
3851,-0.05796439096184086,0.5860534147072908
3853,-0.05834278726504335,0.5861616396618121
3863,-0.06017875061892139,0.5851792637443688
3877,-0.062128279100047236,0.5817756709347411
3881,-0.06278763179947681,0.5815600094183722
3889,-0.0640624270301079,0.5811017144295577
3907,-0.06671514232687534,0.5793080572459951
3911,-0.06726392864697105,0.5797487666756466
3917,-0.06805933063031433,0.5785480245599333
3919,-0.06831706604499925,0.5784350386043958
3923,-0.06882146092415418,0.5777070679267573
3929,-0.06955046394362496,0.5771652058572747
3931,-0.06978614389447452,0.5771493921782432
3943,-0.07112445344000615,0.5775846307851564
